 base_currency  				| currency_code  | 				eff_dt  | 					rate  | business_effective_date  
 CAD                           | HKD                           | 2019-04-08             |0.16980000| 2019-04-08                              
 CAD                           | ZAR                           | 2019-04-08             |0.09450000| 2019-04-08                              
 CAD                           | AUD                           | 2019-04-08             |0.94930000| 2019-04-08                              
 CAD                           | THB                           | 2019-04-08             |0.04180000| 2019-04-08                              
 CAD                           | RUB                           | 2019-04-08             |0.02050000| 2019-04-08                              
 CAD                           | INR                           | 2019-04-08             |0.01920000| 2019-04-08                              
 CAD                           | GBP                           | 2019-04-08             |1.73980000| 2019-04-08                              
 CAD                           | SGD                           | 2019-04-08             |0.98370000| 2019-04-08                              
 CAD                           | JPY                           | 2019-04-08             |0.01200000| 2019-04-08                              
 CAD                           | VND                           | 2019-04-08             |0.00010000| 2019-04-08                              
 CAD                           | KRW                           | 2019-04-08             |0.00120000| 2019-04-08                              
 CAD                           | MYR                           | 2019-04-08             |0.32520000| 2019-04-08                              
 CAD                           | MXN                           | 2019-04-08             |0.07020000| 2019-04-08                              
 CAD                           | PEN                           | 2019-04-08             |0.40480000| 2019-04-08                              
 CAD                           | NOK                           | 2019-04-08             |0.15600000| 2019-04-08                              
 CAD                           | EUR                           | 2019-04-08             |1.50080000| 2019-04-08                              
 CAD                           | SEK                           | 2019-04-08             |0.14400000| 2019-04-08                              
 CAD                           | NZD                           | 2019-04-08             |0.89860000| 2019-04-08                              
 CAD                           | CNY                           | 2019-04-08             |0.19840000| 2019-04-08                              
 CAD                           | TRY                           | 2019-04-08             |0.23420000| 2019-04-08                              
 CAD                           | SAR                           | 2019-04-08             |0.35530000| 2019-04-08                              
 CAD                           | IDR                           | 2019-04-08             |0.00010000| 2019-04-08                              
 CAD                           | TWD                           | 2019-04-08             |0.04320000| 2019-04-08                              
 CAD                           | CHF                           | 2019-04-08             |1.33380000| 2019-04-08                              
 CAD                           | BRL                           | 2019-04-08             |0.34540000| 2019-04-08                              
 CAD                           | USD                           | 2019-04-08             |1.33250000| 2019-04-08                              
 CAD                           | AUD                           | 2019-04-15             |0.95820000| 2019-04-15                              
 CAD                           | NZD                           | 2019-04-15             |0.90280000| 2019-04-15                              
 CAD                           | TRY                           | 2019-04-15             |0.22990000| 2019-04-15                              
 CAD                           | SAR                           | 2019-04-15             |0.35610000| 2019-04-15                              
 CAD                           | IDR                           | 2019-04-15             |0.00010000| 2019-04-15                              
 CAD                           | GBP                           | 2019-04-15             |1.74980000| 2019-04-15                              
 CAD                           | SGD                           | 2019-04-15             |0.98720000| 2019-04-15                              
 CAD                           | JPY                           | 2019-04-15             |0.01190000| 2019-04-15                              
 CAD                           | CHF                           | 2019-04-15             |1.33040000| 2019-04-15                              
 CAD                           | NOK                           | 2019-04-15             |0.15720000| 2019-04-15                              
 CAD                           | EUR                           | 2019-04-15             |1.50980000| 2019-04-15                              
 CAD                           | CNY                           | 2019-04-15             |0.19910000| 2019-04-15                              
 CAD                           | THB                           | 2019-04-15             |0.04200000| 2019-04-15                              
 CAD                           | MYR                           | 2019-04-15             |0.32490000| 2019-04-15                              
 CAD                           | VND                           | 2019-04-15             |0.00010000| 2019-04-15                              
 CAD                           | KRW                           | 2019-04-15             |0.00120000| 2019-04-15                              
 CAD                           | MXN                           | 2019-04-15             |0.07090000| 2019-04-15                              
 CAD                           | BRL                           | 2019-04-15             |0.34490000| 2019-04-15                              
 CAD                           | TWD                           | 2019-04-15             |0.04330000| 2019-04-15                              
 CAD                           | PEN                           | 2019-04-15             |0.40510000| 2019-04-15                              
 CAD                           | HKD                           | 2019-04-15             |0.17040000| 2019-04-15                              
 CAD                           | USD                           | 2019-04-15             |1.33540000| 2019-04-15                              
 CAD                           | ZAR                           | 2019-04-15             |0.09530000| 2019-04-15                              
 CAD                           | INR                           | 2019-04-15             |0.01920000| 2019-04-15                              
 CAD                           | RUB                           | 2019-04-15             |0.02080000| 2019-04-15                              
 CAD                           | SEK                           | 2019-04-15             |0.14420000| 2019-04-15                              
 CAD                           | HKD                           | 2019-04-17             |0.16990000| 2019-04-17                              
 CAD                           | SGD                           | 2019-04-17             |0.98550000| 2019-04-17                              
 CAD                           | SEK                           | 2019-04-17             |0.14420000| 2019-04-17                              
 CAD                           | NZD                           | 2019-04-17             |0.89600000| 2019-04-17                              
 CAD                           | CNY                           | 2019-04-17             |0.19930000| 2019-04-17                              
 CAD                           | CHF                           | 2019-04-17             |1.32030000| 2019-04-17                              
 CAD                           | NOK                           | 2019-04-17             |0.15710000| 2019-04-17                              
 CAD                           | EUR                           | 2019-04-17             |1.50640000| 2019-04-17                              
 CAD                           | TRY                           | 2019-04-17             |0.23260000| 2019-04-17                              
 CAD                           | SAR                           | 2019-04-17             |0.35550000| 2019-04-17                              
 CAD                           | IDR                           | 2019-04-17             |0.00010000| 2019-04-17                              
 CAD                           | JPY                           | 2019-04-17             |0.01190000| 2019-04-17                              
 CAD                           | VND                           | 2019-04-17             |0.00010000| 2019-04-17                              
 CAD                           | PEN                           | 2019-04-17             |0.40450000| 2019-04-17                              
 CAD                           | BRL                           | 2019-04-17             |0.33970000| 2019-04-17                              
 CAD                           | USD                           | 2019-04-17             |1.33320000| 2019-04-17                              
 CAD                           | ZAR                           | 2019-04-17             |0.09530000| 2019-04-17                              
 CAD                           | MYR                           | 2019-04-17             |0.32240000| 2019-04-17                              
 CAD                           | AUD                           | 2019-04-17             |0.95660000| 2019-04-17                              
 CAD                           | THB                           | 2019-04-17             |0.04190000| 2019-04-17                              
 CAD                           | RUB                           | 2019-04-17             |0.02090000| 2019-04-17                              
 CAD                           | INR                           | 2019-04-17             |0.01920000| 2019-04-17                              
 CAD                           | TWD                           | 2019-04-17             |0.04330000| 2019-04-17                              
 CAD                           | MXN                           | 2019-04-17             |0.07080000| 2019-04-17                              
 CAD                           | KRW                           | 2019-04-17             |0.00120000| 2019-04-17                              
 CAD                           | GBP                           | 2019-04-17             |1.73850000| 2019-04-17                              
